SharingUnitID,Year,financial_indegree,financial_outdegree,financial_betweenness,external_lenders_n,external_lenders_prop,fish_indegree,fish_outdegree,fish_betweenness,internal_lenders_n,n_adults,n_children,livelihoods.remittances,livelihoods.activity,MSL2.credit_access,MSL2.expenditure,livelihoods.rank.activity_fishing,livelihoods.rank.activity_gleaning,livelihoods.rank.activity_marketing_mp,livelihoods.rank.activity_salaried_employment,livelihoods.rank.activity_informal_ea,livelihoods.rank.activity_tourism,livelihoods.rank.activity_farming,livelihoods.rank.activity_remittance,livelihoods.rank.activity_other,ageHHH,fishingq.food_consumption,food_insecurity_score,leader,livelihoods.rank.activity_atoll_farming,n_credit_sources,Com_index_commercial_share,Com_index_markets,Com_index_capital,Com_index_gear,pelagic_focus_index
168,2026,0,0,0,0,0,4,5,269.6182394,0,2,4,sometimes,fishing farming marketing_mp informal_ea tourism remittance gleaning,no,60,1,4,2,NA,3,4,4,5,NA,34,1,3,0,NA,0,0.9,4.333333333,3,3.166666667,0.227272727
169,2026,0,0,0,0,0,4,6,135.5019406,0,2,2,sometimes,fishing tourism gleaning,friends_family,250,1,3,NA,NA,NA,2,NA,NA,NA,NA,2,4,0,NA,1,0.8,3.833333333,2,0,NA
170,2026,1,0,0,0,0,6,6,306.0811711,1,2,3,sometimes,fishing informal_ea remittance marketing_mp,no,60,1,NA,2,NA,3,NA,NA,4,NA,39,2,7,1,NA,0,0.8,5,3,4,0.5
171,2026,2,0,0,0,0,4,5,266.4805219,2,2,3,sometimes,fishing marketing_mp informal_ea tourism remittance gleaning,no,145,1,5,2,NA,3,6,NA,4,NA,41,2,4,0,NA,0,0.8,4.166666667,3,2.5,0.078740157
172,2026,5,4,12,4,0.8,12,13,1385.793807,1,6,5,sometimes,fishing informal_ea tourism remittance,friends_family,500,2,NA,NA,NA,1,3,NA,4,NA,61,4,0,1,NA,1,0.6,3,3,0.5,0
173,2026,3,0,0,0,0,7,5,279.4919753,3,2,3,sometimes,fishing informal_ea atoll_farming gleaning tourism remittance,friends_family,150,1,4,NA,NA,3,2,NA,6,NA,40,5,4,0,5,1,0.5,4.333333333,2,3.75,0.512820513
174,2026,0,0,0,0,0,11,4,305.9480548,0,5,1,often,informal_ea tourism salaried_employment fishing gleaning,friends_family,150,4,5,NA,1,2,3,NA,NA,NA,54,3,0,1,NA,1,0.7,3,3,1,0
175,2026,0,0,0,0,0,8,5,607.7380495,0,2,2,sometimes,fishing gleaning tourism informal_ea remittance,no,50,1,1,NA,NA,2,3,NA,4,NA,39,3,4,1,NA,0,0.7,3,3,2.25,0.12
176,2026,0,0,0,0,0,5,3,162.2474806,0,2,1,sometimes,fishing farming other remittance,no,50,4,NA,NA,NA,NA,NA,3,2,1,74,3,3,1,NA,0,0.7,3,0,0,NA
177,2026,1,2,2,0,0,6,9,619.8596582,1,3,0,never,fishing informal_ea tourism gleaning,friends_family,50,1,3,NA,NA,2,NA,NA,NA,NA,36,2,6,0,NA,1,0.8,3,3,2.25,0.12
